id,name,address,lat,lng,price,site_url,ev_type,charger_count,output,max_current,category,charging_fee,parking_fee,contact,reservation,manufacturer,auth,notes,image_url,affiliate_url,lat_lng,source
1247,星野リゾート 界 アンジン  /  (株)星野リゾート,静岡県伊東市和田1-12-16,34.9708017,139.1022499,,https://hoshinoresorts.com/ja/hotels/kaianjin/,テスラ/普通,2台,3kW / 10kW,15A,コンセントのみ / スーパーチャージャー以外,有料,無料,必要,可能,Panasonic / テスラモーターズ,," / 【利用案内】宿泊者のみ利用可・予約申込み可能 (HP内専用フォームより受付･200V充電対応 同時利用は不可)
【充電料金】1泊/1,000円 / 【利用案内】宿泊者のみ利用可・予約申込み可能 (HP内専用フォームより受付･200V充電対応 同時利用は不可)
【充電設備】テスラウォールコネクター 2台
【充電料金】1泊/1,000円",,,"34.9708017,139.1022499",https://ev.gogo.gs/detail/1wu6qd3c
1248,SUNSET OCEAN VIEW VACATION VILLA BLUE LAGOON,静岡県沼津市戸田字柳ヶ窪3878-37,34.9720742,138.7821108,,https://www.bluelagune.jp/,普通,3台,3kW,15A,コンセントのみ,有料,無料,不要,不可,Terra Charge,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応) / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが緑色に点灯していることを確認の上ご利用ください",,,"34.9720742,138.7821108",https://ev.gogo.gs/detail/262sb0im
1249,旅館 ひさご  /  (有)ひさご,愛知県新城市豊岡字大谷下46-2,34.9722044,137.6144998,,https://ryokan-hisago.com/,急速,1台,20kW,40A,中速（20 - 39kW）,有料,無料,不要,不可,ニチコン,エネゲート エコQ電,"※施設の都合で充電器がご利用頂けない可能性がございます。 / 【充電時間】1回30分まで
【充電料金】エコQ電:5分以内/275円 以降1分/55円",,,"34.9722044,137.6144998",https://ev.gogo.gs/detail/1twpop2q
1250,わん’s LAND 舘山  /  (株)リロバケーションズ,千葉県館山市見物770,34.9728594,139.7972833,"5,546円〜（消費税込6,100円〜）",https://stayle.jp/PVwltateyama/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】施設裏 ドッグラン広場前
【利用案内】どなたでも利用可能です。宿泊者は事前にホテルまでご相談いただければ優先的に確保します。 宿泊者以外は利用時フロントまでお声がけください。
【駐車料金】宿泊者以外は別途駐車料金1,000円がかかります
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=172150,https://travel.rakuten.co.jp/HOTEL/172150/172150.html,"34.9728594,139.7972833",https://ev.gogo.gs/detail/25ttc7gn
1251,山岸園,静岡県伊東市松原657,34.9732282,139.0898526,-,https://yamagishien.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,条件付無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【利用案内】ご宿泊の方はご予約時にお知らせ下さい・ご利用時はフロントまでお声がけ下さい・宿泊利用の場合のみ14時~翌8時利用可
【駐車料金】ご宿泊者以外は駐車料金2,000円が発生します。フロントにてお支払いください
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=7560,https://travel.rakuten.co.jp/HOTEL/7560/7560.html,"34.9732282,139.0898526",https://ev.gogo.gs/detail/27tpa1rc
1252,京都ユウベルホテル,京都府京都市南区東九条石田町41-3,34.9734015,135.760983,"3,910円〜（消費税込4,300円〜）",https://kyoto-ublhotel.jp/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,有料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【駐車料金】1泊/1,200円
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=168604,https://travel.rakuten.co.jp/HOTEL/168604/168604.html,"34.9734015,135.760983",https://ev.gogo.gs/detail/28qoro60
1253,ホテル洲の崎 風の抄,千葉県館山市洲崎198-1,34.9740882,139.7592781,"24,637円〜（消費税込27,100円〜）",https://sunosaki.com/,普通,1台,3.2kW,16A,ポール型ケーブル付き,有料,無料,必要,不可,豊田自動織機,"日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表","【利用案内】フロントへお声掛け下さい
　スマートフォン用「TOYOTA Wallet」アプリが必要 / eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=108269,https://travel.rakuten.co.jp/HOTEL/108269/108269.html,"34.9740882,139.7592781",https://ev.gogo.gs/detail/1v1wlii1
1254,立杭てらす,兵庫県丹波篠山市今田町下立杭5-1,34.9746934,135.131201,-,https://tachikui-terrace.com/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】施設南西 県道沿い駐車場
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
      （1）都度支払い
      10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
      （2）「エネチェンジパスポート」での定額支払い
      月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=193991,https://travel.rakuten.co.jp/HOTEL/193991/193991.html,"34.9746934,135.131201",https://ev.gogo.gs/detail/25nsjddi
1255,THE SHINRA 森羅  /  (株)こがね,千葉県館山市塩見284-1,34.9753918,139.8135074,"48,246円〜（消費税込53,070円〜）",https://www.shinra-chiba.com/tateyama/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=188363,https://travel.rakuten.co.jp/HOTEL/188363/188363.html,"34.9753918,139.8135074",https://ev.gogo.gs/detail/278avrs9
1256,ホテルニューミフク,滋賀県甲賀市水口町綾野3-59,34.9757801,136.1696129,"6,637円〜（消費税込7,300円〜）",https://hotel-newmifuku.com/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=13858,https://travel.rakuten.co.jp/HOTEL/13858/13858.html,"34.9757801,136.1696129",https://ev.gogo.gs/detail/28qotnzl
1257,海の湯宿 花しぶき  /  (株)こがね,千葉県館山市塩見233-4,34.9775559,139.8135129,"13,182円〜（消費税込14,500円〜）",https://hanashibuki.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=54149,https://travel.rakuten.co.jp/HOTEL/54149/54149.html,"34.9775559,139.8135129",https://ev.gogo.gs/detail/279nmnos
1258,水口センチュリーホテル,滋賀県甲賀市水口町名坂170-1,34.9777271,136.1731139,"4,728円〜（消費税込5,200円〜）",https://mi-ch.com/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=5526,https://travel.rakuten.co.jp/HOTEL/5526/5526.html,"34.9777271,136.1731139",https://ev.gogo.gs/detail/27jq2twq
1259,NISSAN KENPO 伊東荘  /  日産自動車健康保険組合,静岡県伊東市湯川384,34.9784476,139.0899752,,https://n-kenpo.cococica.com/hoyojo/index.asp?patten_cd=12&page_no=4,普通,1台,3kW,15A,コンセントのみ,無料,無料,必要,可能,Panasonic,,【利用案内】日産自動車関係者で宿泊者のみ利用可・Web予約の場合は食事欄コメントに「EV車」と入力・電話予約の場合は申し出下さい /,,,"34.9784476,139.0899752",https://ev.gogo.gs/detail/15032
1260,ランドーホテル京都スイーツ,京都府京都市南区東九条北松ノ木町38-1,34.9785128,135.7666663,"2,910円〜（消費税込3,200円〜）",https://www.randor.asia/kyoto-suites,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,DMM,DMM EV ON,【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】10分/55円 (3kW相当適応時は表示金額の半額),https://img.travel.rakuten.co.jp/image/imgr_90?no=178237,https://travel.rakuten.co.jp/HOTEL/178237/178237.html,"34.9785128,135.7666663",https://ev.gogo.gs/detail/26ea55er
1261,ホテル ルートイン四日市  /  ルートインジャパン(株),三重県四日市市陶栄町11-1,34.9785911,136.6271344,"6,910円〜（消費税込7,600円〜）",https://www.route-inn.co.jp/hotel_list/mie/index_hotel_id_62/,普通,1台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【設置位置】施設裏 立体駐車場 1階 / 【利用案内】宿泊者優先・ご宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
【充電料金】10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=15970,https://travel.rakuten.co.jp/HOTEL/15970/15970.html,"34.9785911,136.6271344",https://ev.gogo.gs/detail/25msi3w3
1262,ラックホテル大津石山  /  ラックホテル(株),滋賀県大津市粟津町9-21,34.9786493,135.9004868,"2,455円〜（消費税込2,700円〜）",https://lachotel.co.jp/otsu-ishiyama/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【駐車料金】1泊/1,500円 (駐車場利用は電話連絡が必要)
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=12595,https://travel.rakuten.co.jp/HOTEL/12595/12595.html,"34.9786493,135.9004868",https://ev.gogo.gs/detail/2698e3vd
1263,癒しめぐりの宿 夢みさき  /  (有)夢みさき,千葉県南房総市千倉町瀬戸2980-133,34.9790795,139.9662608,"22,546円〜（消費税込24,800円〜）",https://yumemisaki.co.jp/,普通,1台,3kW,15A,コンセントのみ,条件付無料,無料,不要,不可,不明,,【利用案内】施設利用者のみ利用可・フロントにて申込み下さい / 【充電料金】宿泊者は無料,https://img.travel.rakuten.co.jp/image/imgr_90?no=178522,https://travel.rakuten.co.jp/HOTEL/178522/178522.html,"34.9790795,139.9662608",https://ev.gogo.gs/detail/1qukck66
1264,ホテル ルートイン甲賀水口  /  ルートインジャパン(株),滋賀県甲賀市水口町北脇254,34.9797389,136.1599432,"5,728円〜（消費税込6,300円〜）",https://www.route-inn.co.jp/hotel_list/shiga/index_hotel_id_660/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表"," / 【利用案内】15時~翌10時までは宿泊者優先・宿泊のお客様はホテル公式サイトで詳細確認下さい・設備施錠のため利用時はフロントまでお申し付け下さい
エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=166236,https://travel.rakuten.co.jp/HOTEL/166236/166236.html,"34.9797389,136.1599432",https://ev.gogo.gs/detail/28yp2n6q
1265,上田ヴィレッジ  /  真庭市,岡山県真庭市田原山上2138,34.9800848,133.7489897,-,https://ueda-village.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=178980,https://travel.rakuten.co.jp/HOTEL/178980/178980.html,"34.9800848,133.7489897",https://ev.gogo.gs/detail/28y624zp
1266,日本平ホテル  /  (株)日本平ホテル,静岡県静岡市清水区馬走1500-2,34.9802902,138.4651258,"7,910円〜（消費税込8,700円〜）",https://www.ndhl.jp/,急速,1台,44kW,125A,高速（40 - 89kW）,有料,無料,必要,不可,日産自動車,,【利用案内】フロントにて申込みをお願いします (宿泊者以外の方も利用可) / 【充電料金】1回/550円(税込み･現金払い),https://img.travel.rakuten.co.jp/image/imgr_90?no=13913,https://travel.rakuten.co.jp/HOTEL/13913/13913.html,"34.9802902,138.4651258",https://ev.gogo.gs/detail/1qk4v3xu
1267,日本平ホテル (ENECHANGE)  /  (株)日本平ホテル,静岡県静岡市清水区馬走1500-2,34.9802902,138.4651258,"7,910円〜（消費税込8,700円〜）",https://www.ndhl.jp/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=13913,https://travel.rakuten.co.jp/HOTEL/13913/13913.html,"34.9802902,138.4651258",https://ev.gogo.gs/detail/27hvyfyu
1268,南総城山温泉 里見の湯,千葉県館山市下真倉305-1,34.9819306,139.8695262,,https://www.satominoyu.com/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表"," / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"34.9819306,139.8695262",https://ev.gogo.gs/detail/294q32oj
1269,ホテル エルシエント京都  /  (株)関電アメニックス,京都府京都市南区東九条東山王町13,34.9829717,135.7618725,"3,710円〜（消費税込4,080円〜）",https://www.elcient.com/kyoto/,テスラ/普通,2台,3kW / 10kW,15A,コンセントのみ / スーパーチャージャー以外,無料,有料,必要,不可,Panasonic / テスラモーターズ,,"【利用案内】施設ご利用のお客様のみ・フロントにて申込み下さい
【駐車料金】宿泊の方:1泊1500円 (15時~翌10時) / 宿泊以外:15分/300円 /  / 【充電設備】テスラウォールコネクター 2台",https://img.travel.rakuten.co.jp/image/imgr_90?no=9402,https://travel.rakuten.co.jp/HOTEL/9402/9402.html,"34.9829717,135.7618725",https://ev.gogo.gs/detail/1xt2nfke
1270,都ホテル京都八条  /  (株)近鉄･都ホテルズ,京都府京都市南区西九条院町17,34.9834381,135.7557904,"7,273円〜（消費税込8,000円〜）",https://www.miyakohotels.ne.jp/kyoto-hachijo/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,有料,不要,不可,日東工業,Terra Charge,"【利用案内】スマートフォン用アプリ「Terra Charge」またはQRコード決済対応 (※一部施設ではQR決済非対応)
【駐車料金】1泊/2,000円 30分/350円・施設利用の場合サービスあり
【注意】最大出力(参考値)は対応車での充電時のみ対応 / 【充電料金】Terra Chargeアプリよりご確認ください (PayPay･d払い･auPAY･Apple Pay･イオンペイ等対応)
充電器ランプが「利用可」に点灯していることを確認の上ご利用ください",https://img.travel.rakuten.co.jp/image/imgr_90?no=1160,https://travel.rakuten.co.jp/HOTEL/1160/1160.html,"34.9834381,135.7557904",https://ev.gogo.gs/detail/26axsomy
1271,ダブルツリーbyヒルトン京都駅  /  ヒルトン･ホテルズ＆リゾーツ,京都府京都市南区東九条西岩本町15,34.9839725,135.762945,"6,768円〜（消費税込7,444円〜）",https://doubletree.hiltonhotels.jp/hotel/kansai/doubletree-by-hilton-hotel-kyoto-station,普通,2台,4kW,20A,ポール型ケーブル付き,無料,有料,必要,不可,Panasonic,,【利用案内】フロントにて申込み下さい /,https://img.travel.rakuten.co.jp/image/imgr_90?no=189132,https://travel.rakuten.co.jp/HOTEL/189132/189132.html,"34.9839725,135.762945",https://ev.gogo.gs/detail/247ctz2u
1272,リーガロイヤルホテル京都 (京都SC)  /  RRH京都オペレーションズ合同会社,京都府京都市下京区東堀川通り塩小路下ル松明町1,34.9867075,135.7522559,"4,791円〜（消費税込5,270円〜）",https://www.rihga.co.jp/kyoto,テスラ/普通,2台 / 4台,3kW / 72kW,15A,コンセントのみ / スーパーチャージャー,無料 / 有料,条件付無料,必要 / 不要,不可,Panasonic / テスラモーターズ,,"【利用案内】普通充電器は施設利用者のみ (事前連絡が必要)
【駐車料金】宿泊:1泊1台につき無料・婚礼:6時間以内無料・宴会:4時間以内無料・レストラン&バー:4時間以内無料
【注意】充電器に関してはテスラサポート「0120-312-441」へ /  / 【充電設備】テスラ専用スーパーチャージャー(72kW型) 4台",https://img.travel.rakuten.co.jp/image/imgr_90?no=108,https://travel.rakuten.co.jp/HOTEL/108/108.html,"34.9867075,135.7522559",https://ev.gogo.gs/detail/1yzhfwlt
1273,京都 梅小路 花伝抄,京都府京都市下京区朱雀内畑町41-10,34.9885633,135.7424355,"8,000円〜（消費税込8,800円〜）",https://dormy-hotels.com/resort/hotels/umekoji_kadensho/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,有料,必要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
TOYOTA Wallet

EV 充電認証カード料金表","※施設の電気容量により一時的に出力が変動する場合があります。
【駐車料金】フロントにてお支払い下さい / 【利用案内】宿泊利用の場合のみ17時~翌10時利用可・利用時は施設HPをご確認下さい
エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=183391,https://travel.rakuten.co.jp/HOTEL/183391/183391.html,"34.9885633,135.7424355",https://ev.gogo.gs/detail/292pt7p7
1274,修善寺時之栖 百笑の湯,静岡県伊豆市瓜生野410-1,34.9885638,138.9417553,,https://tokinosumika.com/izu/,普通,4台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","※充電器4基中1基の休止情報がございます。 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能
【注意】最大出力(参考値)は対応車での充電時のみ対応            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",,,"34.9885638,138.9417553",https://ev.gogo.gs/detail/27jqdj8q
1275,大津温泉 おふろcaféびわこ座,滋賀県大津市月輪1-9-18,34.9904375,135.9351437,"3,728円〜（消費税込4,100円〜）",https://ofurocafe-biwakoza.com/,普通,2台,6kW,30A,ポール型ケーブル付き,有料,無料,不要,不可,ENECHANGE,"EV充電エネチェンジ
日産ZESP3
三菱自動車 電動車両サポート
JTB おでかけCard レギュラー
JTB おでかけCard プレミア
トヨタ PHV充電サポート
eMP 急速・普通併用
eMP 普通充電器用
BMW Charging 急速・普通併用
BMW Charging 普通充電器用
ENEOS Charge Plus
TOYOTA Wallet

EV 充電認証カード料金表","【注意】最大出力(参考値)は対応車での充電時のみ対応 / エネチェンジアプリでの充電料金
（1）都度支払い
10分/55円 (6kW相当適応時) / 10分/27.5円 (3kW相当適応時)
（2）「エネチェンジパスポート」での定額支払い
月額（30日間）2,980円（税込）、7時から16時までの時間帯は制限なく利用可能            eMP提携充電器※ 注意：充電カードにより都度料金に違いがあります。事前にご確認下さい。",https://img.travel.rakuten.co.jp/image/imgr_90?no=7256,https://travel.rakuten.co.jp/HOTEL/7256/7256.html,"34.9904375,135.9351437",https://ev.gogo.gs/detail/27ipguwa
